status_conta,duracao_mes,hist_credito,proposito,qtdd_credito,reserva,temp_man_empr_atual,percen_tx_rendim_disp,genero,estado_civil,dev_fiadores,tempo_res_atual,patrimonio,idade_anos,outros_par,habitacao,n_creditos,status_ocupacional,n_corresponsaveis,telefone,estrangeiro,classe,ID
Negativo,6,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,1169,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,4,imobiliária,67,nenhum,própria,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,1
Regular,48,créditos existentes pagos devidamente até agora,rádio/televisão,5951,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,2,imobiliária,22,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,2
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),educação,2096,< 100,4 - 7,2,Homem, solteiro,nenhum,3,imobiliária,49,nenhum,própria,1,não qualificado - residente,2,Nenhum,Sim,Bom,3
Negativo,42,créditos existentes pagos devidamente até agora,móveis/equipamentos,7882,< 100,4 - 7,2,Homem, solteiro,fiador,4,contrato de poupança/seguro de vida da sociedade civil,45,nenhum,de graça,1,funcionário/funcionário qualificado,2,Nenhum,Sim,Bom,4
Negativo,24,atraso no pagamento no passado,carro (novo),4870,< 100,1 - 4,3,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,53,nenhum,de graça,2,funcionário/funcionário qualificado,2,Nenhum,Sim,Ruim,5
Inexistente,36,créditos existentes pagos devidamente até agora,educação,9055,desconhecido/semcontapoupança,1 - 4,2,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,35,nenhum,de graça,1,não qualificado - residente,2,"Sim, registrado em nome do cliente",Sim,Bom,6
Inexistente,24,créditos existentes pagos devidamente até agora,móveis/equipamentos,2835,500 - 1000,> 7,3,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,53,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,7
Regular,36,créditos existentes pagos devidamente até agora,carro (usado),6948,< 100,1 - 4,2,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",35,nenhum,alugada,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,8
Inexistente,12,créditos existentes pagos devidamente até agora,rádio/televisão,3059,> 1000,4 - 7,2,Homem,uniao registrada,nenhum,4,imobiliária,61,nenhum,própria,1,não qualificado - residente,1,Nenhum,Sim,Bom,9
Regular,30,conta crítica/outros créditos existentes (não neste banco),carro (novo),5234,< 100,desempregado,4,Homem,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",28,nenhum,própria,2,gestão / autônomo / funcionário / diretor altamente qualificado,1,Nenhum,Sim,Ruim,10
Regular,12,créditos existentes pagos devidamente até agora,carro (novo),1295,< 100,...<1ano,3,Mulher,uniao registrada,nenhum,1,"carro ou outro, não em conta poupança/títulos",25,nenhum,alugada,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,11
Negativo,48,créditos existentes pagos devidamente até agora,negócios,4308,< 100,...<1ano,3,Mulher,uniao registrada,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,24,nenhum,alugada,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,12
Regular,12,créditos existentes pagos devidamente até agora,rádio/televisão,1567,< 100,1 - 4,1,Mulher,uniao registrada,nenhum,1,"carro ou outro, não em conta poupança/títulos",22,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,13
Negativo,24,conta crítica/outros créditos existentes (não neste banco),carro (novo),1199,< 100,> 7,4,Homem, solteiro,nenhum,4,"carro ou outro, não em conta poupança/títulos",60,nenhum,própria,2,não qualificado - residente,1,Nenhum,Sim,Ruim,14
Negativo,15,créditos existentes pagos devidamente até agora,carro (novo),1403,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",28,nenhum,alugada,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,15
Negativo,24,créditos existentes pagos devidamente até agora,rádio/televisão,1282,100 - 500,1 - 4,4,Mulher,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",32,nenhum,própria,1,não qualificado - residente,1,Nenhum,Sim,Ruim,16
Inexistente,24,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,2424,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,53,nenhum,própria,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,17
Negativo,30,nenhum crédito obtido/todos os créditos pagos devidamente,negócios,8072,desconhecido/semcontapoupança,...<1ano,2,Homem, solteiro,nenhum,3,"carro ou outro, não em conta poupança/títulos",25,banco,própria,3,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,18
Regular,24,créditos existentes pagos devidamente até agora,carro (usado),12579,< 100,> 7,4,Mulher,uniao registrada,nenhum,2,desconhecido/sem propriedade,44,nenhum,de graça,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,19
Inexistente,24,créditos existentes pagos devidamente até agora,rádio/televisão,3430,500 - 1000,> 7,3,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",31,nenhum,própria,1,funcionário/funcionário qualificado,2,"Sim, registrado em nome do cliente",Sim,Bom,20
Inexistente,9,conta crítica/outros créditos existentes (não neste banco),carro (novo),2134,< 100,1 - 4,4,Homem, solteiro,nenhum,4,"carro ou outro, não em conta poupança/títulos",48,nenhum,própria,3,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,21
Negativo,6,créditos existentes pagos devidamente até agora,rádio/televisão,2647,500 - 1000,1 - 4,2,Homem, solteiro,nenhum,3,imobiliária,44,nenhum,alugada,1,funcionário/funcionário qualificado,2,Nenhum,Sim,Bom,22
Negativo,10,conta crítica/outros créditos existentes (não neste banco),carro (novo),2241,< 100,...<1ano,1,Homem, solteiro,nenhum,3,imobiliária,48,nenhum,alugada,2,não qualificado - residente,2,Nenhum,Não,Bom,23
Regular,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1804,100 - 500,...<1ano,3,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,44,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,24
Inexistente,10,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,2069,desconhecido/semcontapoupança,1 - 4,2,Homem,uniao registrada,nenhum,1,"carro ou outro, não em conta poupança/títulos",26,nenhum,própria,2,funcionário/funcionário qualificado,1,Nenhum,Não,Bom,25
Negativo,6,créditos existentes pagos devidamente até agora,móveis/equipamentos,1374,< 100,1 - 4,1,Homem, solteiro,nenhum,2,imobiliária,36,banco,própria,1,não qualificado - residente,1,"Sim, registrado em nome do cliente",Sim,Bom,26
Inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,rádio/televisão,426,< 100,> 7,4,Homem,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",39,nenhum,própria,1,não qualificado - residente,1,Nenhum,Sim,Bom,27
Alto,12,todos os créditos deste banco foram devidamente pagos,rádio/televisão,409,> 1000,1 - 4,3,Mulher,uniao registrada,nenhum,3,imobiliária,42,nenhum,alugada,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,28
Regular,7,créditos existentes pagos devidamente até agora,rádio/televisão,2415,< 100,1 - 4,3,Homem, solteiro,fiador,2,imobiliária,34,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,29
